mm-yyyy,ruta_venta,total_cajas,total_dinero,cantidad_de_ordenes,ofertas_aplicadas,sku_activados,cantidad_facturas_venta,clientes_activados,total_clientes,total_sku_portafolio,sku_x_factura,ros_factura,month,sin_month,cos_month,expected_total_dinero
07-2024,RUTA 01,4797.37,8592603.55,222.0,303.0,91.0,192.0,109.0,108,215,0.47,44719.0,7,-0.4999999999999997,-0.8660254037844388,8772850.423493372
08-2024,RUTA 01,4633.17,7344427.01,201.0,202.0,80.0,187.0,83.0,108,215,0.43,39377.31,8,-0.8660254037844385,-0.5000000000000004,8230365.2744125975
09-2024,RUTA 01,2641.95,7252307.69,171.0,234.0,76.0,145.0,99.0,108,215,0.52,49872.57,9,-1.0,-1.8369701987210297e-16,8715335.886723874
10-2024,RUTA 01,3867.32,8264400.73,163.0,200.0,87.0,152.0,94.0,108,215,0.57,54241.81,10,-0.8660254037844386,0.5000000000000001,11038529.842038898
11-2024,RUTA 01,3578.51,7766150.59,180.0,298.0,85.0,155.0,96.0,108,215,0.55,50072.36,11,-0.5000000000000004,0.8660254037844384,8786505.777900277
12-2024,RUTA 01,4312.05,11075198.55,210.0,237.0,113.0,256.0,121.0,108,215,0.44,43324.56,12,-2.4492935982947064e-16,1.0,10563392.131259345
01-2025,RUTA 01,3596.09,7022817.32,144.0,173.0,73.0,191.0,85.0,108,215,0.38,36716.35,1,0.49999999999999994,0.8660254037844387,8221758.317488559
02-2025,RUTA 01,2254.23,8052065.79,166.0,175.0,84.0,191.0,88.0,108,215,0.44,42138.48,2,0.8660254037844386,0.5000000000000001,8279938.67634599
03-2025,RUTA 01,3441.21,7947615.56,201.0,266.0,81.0,179.0,87.0,108,215,0.45,44425.77,3,1.0,6.123233995736766e-17,8304737.304259303
04-2025,RUTA 01,3159.07,9786897.87,222.0,224.0,96.0,193.0,89.0,108,215,0.5,50620.9,4,0.8660254037844387,-0.4999999999999998,9359336.414923942
05-2025,RUTA 01,4471.22,11015176.73,194.0,292.0,60.0,206.0,93.0,108,215,0.29,53571.06,5,0.49999999999999994,-0.8660254037844387,11235539.56203426
06-2025,RUTA 01,4355.52,9615358.58,174.0,242.0,99.0,241.0,100.0,108,215,0.41,39816.84,6,1.2246467991473532e-16,-1.0,9572517.744704548
07-2025,RUTA 01,3945.23,8715291.71,234.0,266.0,90.0,217.0,103.0,108,215,0.41,40117.46,7,-0.4999999999999997,-0.8660254037844388,9036532.19721254
08-2025,RUTA 01,5040.12,7573668.06,189.0,213.0,72.0,194.0,94.0,108,215,0.37,39123.05,8,-0.8660254037844385,-0.5000000000000004,8339237.227068799
09-2025,RUTA 01,4244.1,8393716.35,167.0,213.0,83.0,166.0,92.0,108,215,0.5,50676.61,9,-1.0,-1.8369701987210297e-16,9127022.839518702
10-2025,RUTA 01,4601.47,11964232.95,201.0,242.0,86.0,137.0,93.0,108,215,0.63,87285.91,10,-0.8660254037844386,0.5000000000000001,13366612.680179594
11-2025,RUTA 01,4326.66,13006671.05,194.0,245.0,87.0,157.0,99.0,108,215,0.55,82882.63,11,-0.5000000000000004,0.8660254037844384,14151466.14930181
12-2025,RUTA 01,6226.48,12972114.17,239.0,362.0,99.0,259.0,132.0,108,215,0.38,49997.74,12,-2.4492935982947064e-16,1.0,12042171.547131212
01-2026,RUTA 01,3025.76,7157378.11,181.0,189.0,63.0,171.0,79.0,108,215,0.37,41797.38,1,0.49999999999999994,0.8660254037844387,8241907.3026938345
02-2026,RUTA 01,4305.96,6604128.31,212.0,178.0,76.0,191.0,78.0,108,215,0.4,34541.03,2,0.8660254037844386,0.5000000000000001,8243718.209777044
03-2026,RUTA 01,4544.61,11376383.95,166.0,243.0,91.0,210.0,87.0,108,215,0.43,54234.36,3,1.0,6.123233995736766e-17,11372140.092383072
04-2026,RUTA 01,3212.22,10098061.27,206.0,247.0,92.0,172.0,95.0,108,215,0.53,58786.83,4,0.8660254037844387,-0.4999999999999998,11363409.454777047
05-2026,RUTA 01,4640.08,8019045.21,240.0,257.0,76.0,208.0,89.0,108,215,0.37,38645.08,5,0.49999999999999994,-0.8660254037844387,8835428.375186004
06-2026,RUTA 01,5534.43,12277915.19,204.0,303.0,101.0,231.0,113.0,108,215,0.44,53043.24,6,1.2246467991473532e-16,-1.0,11829911.668857312
07-2026,RUTA 01,4644.83,8995341.72,203.0,227.0,97.0,219.0,105.0,108,215,0.44,41021.53,7,-0.4999999999999997,-0.8660254037844388,9049002.658884084
08-2026,RUTA 01,5172.42,9468684.62,233.0,228.0,117.0,208.0,90.0,108,215,0.56,45469.35,8,-0.8660254037844385,-0.5000000000000004,9154215.870082384
09-2026,RUTA 01,3502.15,10368813.08,198.0,271.0,94.0,190.0,90.0,108,215,0.49,54535.33,9,-1.0,-1.8369701987210297e-16,11204675.724553203
10-2026,RUTA 01,3119.38,8770635.05,222.0,250.0,76.0,197.0,96.0,108,215,0.38,44479.29,10,-0.8660254037844386,0.5000000000000001,8563718.544117179
