mm-yyyy,ruta_venta,total_cajas,total_dinero,cantidad_de_ordenes,ofertas_aplicadas,sku_activados,cantidad_facturas_venta,clientes_activados,total_clientes,total_sku_portafolio,sku_x_factura,ros_factura,month,sin_month,cos_month,expected_total_dinero
07-2024,RUTA 01,4797.37,8592603.55,222.0,303.0,91.0,192.0,109.0,108,215,0.47,44719.0,7,-0.4999999999999997,-0.8660254037844388,8317021.563992348
08-2024,RUTA 01,4633.17,7344427.01,201.0,202.0,80.0,187.0,83.0,108,215,0.43,39377.31,8,-0.8660254037844385,-0.5000000000000004,7028131.233393595
09-2024,RUTA 01,2641.95,7252307.69,171.0,234.0,76.0,145.0,99.0,108,215,0.52,49872.57,9,-1.0,-1.8369701987210297e-16,6477867.6893702485
10-2024,RUTA 01,3867.32,8264400.73,163.0,200.0,87.0,152.0,94.0,108,215,0.57,54241.81,10,-0.8660254037844386,0.5000000000000001,7804545.2214928605
11-2024,RUTA 01,3578.51,7766150.59,180.0,298.0,85.0,155.0,96.0,108,215,0.55,50072.36,11,-0.5000000000000004,0.8660254037844384,7136886.100090917
12-2024,RUTA 01,4312.05,11075198.55,210.0,237.0,113.0,256.0,121.0,108,215,0.44,43324.56,12,-2.4492935982947064e-16,1.0,11871164.352699399
01-2025,RUTA 01,3596.09,7022817.32,144.0,173.0,73.0,191.0,85.0,108,215,0.38,36716.35,1,0.49999999999999994,0.8660254037844387,6651870.3366875835
02-2025,RUTA 01,2254.23,8052065.79,166.0,175.0,84.0,191.0,88.0,108,215,0.44,42138.48,2,0.8660254037844386,0.5000000000000001,7754697.023990706
03-2025,RUTA 01,3441.21,7947615.56,201.0,266.0,81.0,179.0,87.0,108,215,0.45,44425.77,3,1.0,6.123233995736766e-17,7499312.423992418
04-2025,RUTA 01,3159.07,9786897.87,222.0,224.0,96.0,193.0,89.0,108,215,0.5,50620.9,4,0.8660254037844387,-0.4999999999999998,9624753.378688797
05-2025,RUTA 01,4471.22,11015176.73,194.0,292.0,60.0,206.0,93.0,108,215,0.29,53571.06,5,0.49999999999999994,-0.8660254037844387,10868637.629768435
06-2025,RUTA 01,4355.52,9615358.58,174.0,242.0,99.0,241.0,100.0,108,215,0.41,39816.84,6,1.2246467991473532e-16,-1.0,10322779.237522494
